#FamilyID	pvalue	Significant at 0.05
OG0001106	0	y
OG0001107	0	y
OG0001108	0	y
OG0001109	0	y
OG0001111	0	y
OG0001112	0	y
OG0001113	0	y
OG0001114	0	y
OG0001115	0	y
OG0001122	0	y
OG0001123	0	y
OG0001124	0	y
OG0001126	0	y
OG0001127	0	y
OG0001128	0	y
OG0001129	0	y
OG0001131	0.001	y
OG0001132	0	y
OG0001133	0.003	y
OG0001134	0.003	y
OG0001135	0	y
OG0001136	0	y
OG0001137	0	y
OG0001138	0	y
OG0001139	0	y
OG0001140	0	y
OG0001141	0	y
OG0001142	0	y
OG0001143	0	y
OG0001144	0	y
OG0001145	0	y
OG0001146	0.001	y
OG0001147	0.011	y
OG0001148	0	y
OG0001149	0	y
OG0001150	0	y
OG0001154	0	y
OG0001155	0	y
OG0001156	0	y
OG0001157	0	y
OG0001158	0	y
OG0001159	0	y
OG0001160	0	y
OG0001161	0	y
OG0001169	0.023	y
OG0001170	0.003	y
OG0001171	0	y
OG0001173	0.011	y
OG0001174	0	y
OG0001177	0.001	y
OG0001178	0	y
OG0001179	0	y
OG0001181	0.006	y
OG0001182	0	y
OG0001183	0	y
OG0001186	0	y
OG0001187	0	y
OG0001188	0	y
OG0001189	0	y
OG0001191	0	y
OG0001193	0	y
OG0001194	0	y
OG0001195	0	y
OG0001196	0	y
OG0001197	0	y
OG0001198	0	y
OG0001199	0	y
OG0001200	0	y
OG0001201	0	y
OG0001203	0	y
OG0001204	0	y
OG0001205	0	y
OG0001206	0	y
OG0001207	0	y
OG0001209	0.001	y
OG0001210	0	y
OG0001213	0.001	y
OG0001214	0	y
OG0001223	0	y
OG0001224	0	y
OG0001226	0	y
OG0001228	0	y
OG0001229	0	y
OG0001231	0	y
OG0001232	0	y
OG0001234	0	y
OG0001235	0.017	y
OG0001236	0	y
OG0001237	0.015	y
OG0001238	0	y
OG0001239	0	y
OG0001240	0	y
OG0001241	0	y
OG0001242	0	y
OG0001243	0	y
OG0001244	0.013	y
OG0001245	0	y
OG0001246	0	y
OG0001247	0	y
OG0001248	0	y
OG0001249	0	y
OG0001250	0	y
OG0001251	0	y
OG0001252	0	y
OG0001253	0	y
OG0001254	0	y
OG0001255	0	y
OG0001256	0	y
OG0001257	0	y
OG0001258	0	y
OG0001259	0	y
OG0001260	0	y
OG0001262	0	y
OG0001263	0	y
OG0001264	0	y
OG0001265	0	y
OG0001269	0	y
OG0001270	0	y
OG0001271	0	y
OG0001272	0	y
OG0001273	0	y
OG0001275	0	y
OG0001276	0.015	y
OG0001277	0	y
OG0001278	0	y
OG0001279	0	y
OG0001280	0	y
OG0001281	0	y
OG0001282	0	y
OG0001283	0	y
OG0001284	0	y
OG0001285	0	y
OG0001287	0	y
OG0001288	0	y
OG0001289	0	y
OG0001290	0	y
OG0001292	0	y
OG0001293	0	y
OG0001294	0	y
OG0001295	0	y
OG0001296	0	y
OG0001297	0.003	y
OG0001298	0	y
OG0001299	0	y
OG0001300	0	y
OG0001301	0	y
OG0001302	0	y
OG0001303	0	y
OG0001304	0	y
OG0001305	0	y
OG0001306	0	y
OG0001307	0	y
OG0001308	0	y
OG0001309	0	y
OG0001310	0	y
OG0001311	0	y
OG0001312	0	y
OG0001313	0.001	y
OG0001315	0	y
OG0001317	0.002	y
OG0001318	0	y
OG0001334	0	y
OG0001335	0	y
OG0001336	0	y
OG0001338	0	y
OG0001339	0	y
OG0001340	0	y
OG0001341	0	y
OG0001342	0	y
OG0001343	0	y
OG0001344	0	y
OG0001345	0	y
OG0001347	0	y
OG0001348	0	y
OG0001349	0	y
OG0001350	0.002	y
OG0001351	0	y
OG0001352	0	y
OG0001353	0	y
OG0001354	0	y
OG0001355	0	y
OG0001356	0	y
OG0001357	0	y
OG0001358	0	y
OG0001359	0	y
OG0001360	0	y
OG0001361	0	y
OG0001362	0	y
OG0001363	0	y
OG0001364	0	y
OG0001365	0	y
OG0001366	0	y
OG0001368	0	y
OG0001369	0	y
OG0001371	0	y
OG0001372	0	y
OG0001385	0	y
OG0001386	0	y
OG0001387	0	y
OG0001389	0	y
OG0001391	0	y
OG0001394	0.004	y
OG0001395	0	y
OG0001396	0.001	y
OG0001397	0	y
OG0001398	0.002	y
OG0001399	0	y
OG0001400	0	y
OG0001401	0	y
OG0001402	0	y
OG0001403	0.002	y
OG0001404	0	y
OG0001405	0	y
OG0001406	0	y
OG0001407	0	y
OG0001409	0	y
OG0001410	0	y
OG0001411	0	y
OG0001412	0	y
OG0001413	0	y
OG0001414	0.001	y
OG0001415	0	y
OG0001416	0	y
OG0001417	0	y
OG0001418	0.002	y
OG0001419	0	y
OG0001420	0	y
OG0001421	0.001	y
